Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Corporate_History
CMGCGBW,London Gold Price (GBP/Oz.),Commodity Prices,United Kingdom Pound,United Kingdom,GBP per Troy Ounce,Units,Stock,none,
Date,Ticker,Close
12/31/1257,CMGCGBW,0.889
12/31/1258,CMGCGBW,0.889
12/31/1259,CMGCGBW,0.889
12/31/1260,CMGCGBW,0.889
12/31/1261,CMGCGBW,0.889
12/31/1262,CMGCGBW,0.889
12/31/1263,CMGCGBW,0.889
12/31/1264,CMGCGBW,0.889
12/31/1265,CMGCGBW,1.067
12/31/1266,CMGCGBW,1.067
12/31/1267,CMGCGBW,1.067
12/31/1268,CMGCGBW,1.067
12/31/1269,CMGCGBW,1.067
12/31/1270,CMGCGBW,1.067
12/31/1271,CMGCGBW,1.067
12/31/1272,CMGCGBW,1.067
12/31/1273,CMGCGBW,1.067
12/31/1274,CMGCGBW,1.067
12/31/1275,CMGCGBW,1.067
12/31/1276,CMGCGBW,1.067
12/31/1277,CMGCGBW,1.067
12/31/1278,CMGCGBW,1.067
12/31/1279,CMGCGBW,1.067
12/31/1280,CMGCGBW,1.067
12/31/1281,CMGCGBW,1.067
12/31/1282,CMGCGBW,1.067
12/31/1283,CMGCGBW,1.067
12/31/1284,CMGCGBW,1.067
12/31/1285,CMGCGBW,1.067
12/31/1286,CMGCGBW,1.067
12/31/1287,CMGCGBW,1.067
12/31/1288,CMGCGBW,1.067
12/31/1289,CMGCGBW,1.067
12/31/1290,CMGCGBW,1.067
12/31/1291,CMGCGBW,1.067
12/31/1292,CMGCGBW,1.067
12/31/1293,CMGCGBW,1.067
12/31/1294,CMGCGBW,1.067
12/31/1295,CMGCGBW,1.067
12/31/1296,CMGCGBW,1.067
12/31/1297,CMGCGBW,1.067
12/31/1298,CMGCGBW,1.067
12/31/1299,CMGCGBW,1.067
12/31/1300,CMGCGBW,1.067
12/31/1301,CMGCGBW,1.067
12/31/1302,CMGCGBW,1.067
12/31/1303,CMGCGBW,1.067
12/31/1304,CMGCGBW,1.067
12/31/1305,CMGCGBW,1.067
12/31/1306,CMGCGBW,1.067
12/31/1307,CMGCGBW,1.067
12/31/1308,CMGCGBW,1.067
12/31/1309,CMGCGBW,1.067
12/31/1310,CMGCGBW,1.067
12/31/1311,CMGCGBW,1.067
12/31/1312,CMGCGBW,1.067
12/31/1313,CMGCGBW,1.067
12/31/1314,CMGCGBW,1.067
12/31/1315,CMGCGBW,1.067
12/31/1316,CMGCGBW,1.067
12/31/1317,CMGCGBW,1.067
12/31/1318,CMGCGBW,1.067
12/31/1319,CMGCGBW,1.067
12/31/1320,CMGCGBW,1.067
12/31/1321,CMGCGBW,1.067
12/31/1322,CMGCGBW,1.067
12/31/1323,CMGCGBW,1.067
12/31/1324,CMGCGBW,1.067
12/31/1325,CMGCGBW,1.067
12/31/1326,CMGCGBW,1.067
12/31/1327,CMGCGBW,1.067
12/31/1328,CMGCGBW,1.067
12/31/1329,CMGCGBW,1.067
12/31/1330,CMGCGBW,1.067
12/31/1331,CMGCGBW,1.067
12/31/1332,CMGCGBW,1.067
12/31/1333,CMGCGBW,1.067
12/31/1334,CMGCGBW,1.067
12/31/1335,CMGCGBW,1.067
12/31/1336,CMGCGBW,1.067
12/31/1337,CMGCGBW,1.067
12/31/1338,CMGCGBW,1.067
12/31/1339,CMGCGBW,1.067
12/31/1340,CMGCGBW,1.067
12/31/1341,CMGCGBW,1.067
12/31/1342,CMGCGBW,1.067
12/31/1343,CMGCGBW,1.333
12/31/1344,CMGCGBW,1.17
12/31/1345,CMGCGBW,1.17
12/31/1346,CMGCGBW,1.244
12/31/1347,CMGCGBW,1.244
12/31/1348,CMGCGBW,1.244
12/31/1349,CMGCGBW,1.251
12/31/1350,CMGCGBW,1.251
12/31/1351,CMGCGBW,1.34
12/31/1352,CMGCGBW,1.34
12/31/1353,CMGCGBW,1.34
12/31/1354,CMGCGBW,1.34
12/31/1355,CMGCGBW,1.34
12/31/1356,CMGCGBW,1.34
12/31/1357,CMGCGBW,1.34
12/31/1358,CMGCGBW,1.34
12/31/1359,CMGCGBW,1.34
12/31/1360,CMGCGBW,1.34
12/31/1361,CMGCGBW,1.34
12/31/1362,CMGCGBW,1.34
12/31/1363,CMGCGBW,1.34
12/31/1364,CMGCGBW,1.34
12/31/1365,CMGCGBW,1.34
12/31/1366,CMGCGBW,1.34
12/31/1367,CMGCGBW,1.34
12/31/1368,CMGCGBW,1.34
12/31/1369,CMGCGBW,1.34
12/31/1370,CMGCGBW,1.34
12/31/1371,CMGCGBW,1.34
12/31/1372,CMGCGBW,1.34
12/31/1373,CMGCGBW,1.34
12/31/1374,CMGCGBW,1.34
