Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Corporate_History
CMSIGBW,London Silver Price (Pence/Ounce),Commodity Prices,United Kingdom Pound,United Kingdom,GBP per Troy Ounce,Pence,Stock,none,
Date,Ticker,Close
12/31/1257,CMSIGBW,23.243
12/31/1258,CMSIGBW,23.243
12/31/1259,CMSIGBW,23.243
12/31/1260,CMSIGBW,23.243
12/31/1261,CMSIGBW,23.243
12/31/1262,CMSIGBW,23.243
12/31/1263,CMSIGBW,23.347
12/31/1264,CMSIGBW,23.347
12/31/1265,CMSIGBW,23.347
12/31/1266,CMSIGBW,23.347
12/31/1267,CMSIGBW,23.347
12/31/1268,CMSIGBW,23.347
12/31/1269,CMSIGBW,23.347
12/31/1270,CMSIGBW,23.347
12/31/1271,CMSIGBW,23.347
12/31/1272,CMSIGBW,23.347
12/31/1273,CMSIGBW,23.347
12/31/1274,CMSIGBW,23.347
12/31/1275,CMSIGBW,23.347
12/31/1276,CMSIGBW,23.347
12/31/1277,CMSIGBW,23.347
12/31/1278,CMSIGBW,23.347
12/31/1279,CMSIGBW,23.347
12/31/1280,CMSIGBW,23.347
12/31/1281,CMSIGBW,23.347
12/31/1282,CMSIGBW,23.347
12/31/1283,CMSIGBW,23.347
12/31/1284,CMSIGBW,23.347
12/31/1285,CMSIGBW,23.347
12/31/1286,CMSIGBW,23.347
12/31/1287,CMSIGBW,23.347
12/31/1288,CMSIGBW,23.347
12/31/1289,CMSIGBW,23.347
12/31/1290,CMSIGBW,23.347
12/31/1291,CMSIGBW,23.347
12/31/1292,CMSIGBW,23.347
12/31/1293,CMSIGBW,23.347
12/31/1294,CMSIGBW,23.347
12/31/1295,CMSIGBW,23.347
12/31/1296,CMSIGBW,23.347
12/31/1297,CMSIGBW,23.347
12/31/1298,CMSIGBW,23.347
12/31/1299,CMSIGBW,23.347
12/31/1300,CMSIGBW,23.347
12/31/1301,CMSIGBW,23.347
12/31/1302,CMSIGBW,23.347
12/31/1303,CMSIGBW,23.347
12/31/1304,CMSIGBW,23.347
12/31/1305,CMSIGBW,23.347
12/31/1306,CMSIGBW,23.347
12/31/1307,CMSIGBW,23.347
12/31/1308,CMSIGBW,23.347
12/31/1309,CMSIGBW,23.347
12/31/1310,CMSIGBW,23.347
12/31/1311,CMSIGBW,23.347
12/31/1312,CMSIGBW,23.347
12/31/1313,CMSIGBW,23.347
12/31/1314,CMSIGBW,23.347
12/31/1315,CMSIGBW,23.347
12/31/1316,CMSIGBW,23.347
12/31/1317,CMSIGBW,23.347
12/31/1318,CMSIGBW,23.347
12/31/1319,CMSIGBW,24.306
12/31/1320,CMSIGBW,24.306
12/31/1321,CMSIGBW,24.306
12/31/1322,CMSIGBW,24.306
12/31/1323,CMSIGBW,24.306
12/31/1324,CMSIGBW,24.306
